date	followers	following	medias
2018-09-12 14:45:06	1036	884	52
2018-09-12 15:45:07	1036	752	52
2018-09-12 16:45:07	1036	752	52
2018-09-12 17:45:07	1036	753	52
2018-09-12 18:45:07	1038	753	52
2018-09-12 19:45:08	1038	754	52
2018-09-12 20:45:08	1039	765	52
2018-09-12 21:45:08	1039	765	52
2018-09-12 22:45:09	1040	766	52
2018-09-12 23:45:09	1043	766	52
2018-09-13 00:45:09	1043	687	52
2018-09-13 01:45:10	1043	565	52
2018-09-13 03:45:10	1044	573	52
2018-09-13 04:45:11	1044	573	52
2018-09-13 05:45:11	1044	573	52
2018-09-13 06:45:11	1044	574	52
2018-09-13 07:45:12	1044	574	52
2018-09-13 08:45:12	1044	578	52
2018-09-13 09:45:12	1044	578	52
2018-09-13 10:45:13	1045	578	52
2018-09-13 11:45:13	1048	578	52
2018-09-13 12:45:13	1049	578	52
2018-09-13 13:45:14	1051	578	52
2018-09-13 14:45:14	1051	578	52
2018-09-13 15:45:15	1052	577	52
2018-09-13 16:45:15	1052	577	52
2018-09-13 17:45:15	1052	577	52
2018-09-13 18:45:18	1052	577	52
2018-09-13 19:45:17	1051	577	52
2018-09-13 20:45:17	1051	578	52
2018-09-13 21:45:17	1051	578	52
2018-09-13 22:45:17	1051	578	52
2018-09-13 23:45:18	1052	578	52
2018-09-14 00:45:18	1052	531	52
2018-09-14 01:45:18	1053	531	52
2018-09-14 02:45:19	1053	531	52
2018-09-14 03:45:19	1053	532	52
2018-09-14 04:45:19	1054	531	52
2018-09-14 05:45:20	1054	531	52
2018-09-14 06:45:20	1054	531	52
2018-09-14 07:45:20	1054	531	52
2018-09-14 09:29:07	383	1091	458
2018-09-18 03:26:32	1060	533	52
2018-09-18 04:26:32	1060	533	52
2018-09-18 05:26:32	1060	533	52
2018-09-18 06:26:33	1060	533	52
2018-09-18 07:26:33	1060	533	52
2018-09-18 08:26:34	1060	533	52
2018-09-18 09:26:34	1061	533	52
2018-09-18 10:26:34	1061	533	52
2018-09-18 11:26:35	1060	532	52
2018-09-18 12:26:35	1061	532	52
2018-09-18 13:26:35	1065	532	52
2018-09-18 14:26:36	1065	532	52
2018-09-18 16:26:36	1069	532	52
2018-09-18 17:26:37	1072	532	52
2018-09-18 18:26:37	1072	532	52
2018-09-18 19:26:38	1072	532	52
2018-09-18 20:26:38	1072	532	52
2018-09-18 21:26:38	1072	532	52
2018-09-18 22:26:39	1072	531	52
2018-09-18 23:26:39	1072	531	52
2018-09-19 00:26:39	1072	531	52
2018-09-19 01:26:40	1073	531	52
2018-09-19 02:26:41	1073	532	52
2018-09-19 03:26:41	1074	531	52
2018-09-19 05:53:13	1074	531	52
2018-09-19 05:53:13	1074	531	52
2018-09-19 06:53:10	1074	531	52
2018-09-19 07:53:10	1074	531	52
2018-09-19 08:53:10	1074	534	52
2018-09-19 09:53:11	1074	531	52
2018-09-19 10:53:11	1075	531	52
2018-09-19 11:53:11	1076	532	52
2018-09-19 12:53:12	1076	531	52
2018-09-19 13:53:12	1076	531	52
